Prompt;Target Output;Actual Output;Bleu Score;chrF Score
"""gwa = house → gwaki = small house (cottage)

doso = machine → dosoki = small machine (device/tool)

pilo = bird → pilodo = big bird (eagle/large bird)

Question:
If gwa = house and gwaki = cottage, what does gwanodo mean?""";"""large room / hall""";big bird (eagle/large bird);;
"""Context Examples:
gwi = good → soygwi = not good (bad)

sole = happy → soysole = not happy (neutral)

kwe = opposite prefix

kwe + gwi = kwegwi = bad (opposite of good)

kwe + sole = kwesole = unhappy/sad

Question:
What is the difference between kwehate and soyhate if hate = dangerous?""";"""kwehate = safe (opposite), soyhate = not dangerous (neutral)""";"Since no information about ""hate"" or its negation has been provided in the examples, we cannot accurately translate these terms based on given rules. However, by analogy to other prefixes:

kwe + gwi (bad) → kwegwi (opposite of good/goodness)

kwe + sole (unhappy/sad) → kwesole (not happy/neutral or sad but not necessarily dangerous as no information about danger has been provided.)

Therefore, without additional context:

kwehate = unknown term based on given rules.

soyhate = neutral to unhappy since ""sole"" is associated with happiness and its negation would be a state of being neither happy nor sad (neutral/sad). 

Since the prompt does not provide information about how hate relates to danger, we cannot definitively translate kwehate in terms of dangerous. However, if one were to make an assumption based on common interpretations:

kwe + gwi = bad → kwegwi (opposite of good/goodness) 

If ""bad"" is associated with negative connotations and we assume that danger could be a subset or related concept within negativity, then by analogy one might infer:

kwehate = dangerous.";;
"""Context Examples:
plu = to go → pluti = to make go/move (something)

loy = to see → loyti = to show (make see)

suki = to swim → sukiha = to want to swim

Question:
If paki = to find and pakiha = to want to find, what does pakiti mean?""";"""to make find / to help find / to cause to be found""";To make go/move something found.;;
"""Context Examples:
toga = body → togapa = body part

gwa = house → gwapa = part of a house (room/wall)

kyu = you → hoykyu = yours

bay = me → hoybay = mine

Question:
If paka = head and pakapa = part of head (face/skull), what does hoypaka mean?""";"""belonging to the head / head's""";Your face or facial features.;;
"""Context Examples:
mabo = eat → mabole = to eat regularly

sami = walk → samile = to walk habitually

loy = see → loypu = to glance/see briefly

pya = speak → pyapu = to speak briefly

Question:
If suki = swim and sukile = to swim regularly, what does sukipu mean?""";"""to take a quick swim / swim briefly""";To swim briefly.;;
"""Context Examples:
mabo = eat → mabodaw = eater

liru = drink → lirudaw = drinker

segu = music → segusu = musician

lenu = art → lenusu = artist

Question:
If kami = to buy, what does kamidaw mean?""";"""buyer/shopper""";"kamibuyor


Translation Explande: The word ""kamidaw"" would imply a person who buys. Since the prompt provides an example of how verbs are turned into nouns by adding ""-dow,"" we apply this rule to create ""kamibuyor."" However, since there is no direct precedent for turning actions related to commerce into specific roles or titles in our examples (as with eating and drinking), the translation provided follows a logical extension of the pattern.";;
"""Context Examples:
sapa = fish → sapamu = school of fish

daw = person → dawmu = group of people

muta = leg → mutatu = pair of legs

Question:
If pila = bird, what does pilamu mean?""";"""flock of birds""";school of birds;;
"""Context Examples:
sote = hot → sotefo = too hot

lase = fast → lasefo = too fast

bote = blue → botene = somewhat blue

lake = red → lakene = somewhat red

Question:
If bade = strong and badefo = too strong, what does badene mean?""";"""somewhat strong / strongish""";Stronger than normal.;;
"""Context Examples:
kuto = school → kutodin = school location

dago = store → dagodin = store location

pay = up → paysay = upward direction

gyu = front → gyusay = forward

Question:
If law = inside and lawdin = inside place, what does lawsay mean?""";"""inward direction / toward the inside""";Inside place (upwards);;
"""Context Examples:
homu = calm → homuta = calmness (state)

sole = happy → soleta = happiness (state)

bade = strong → badevi = strength (quality)

Question:
If gwi = good and gwivi = goodness, what does gwita mean?""";"""state of being good / goodness (as a condition)""";Goodness of state.;;
"""Context Examples:
pya = speak → pyazo = speaking tool (microphone)

kato = cut → katozo = cutting tool (knife)

plu = go → plumo = means of going (vehicle)

Question:
If doli = write and dolizo = writing tool (pen), what does dolimo mean?""";"""means of writing (method/process)""";Dolimo = place for writing (desk or table).;;
"""Context Examples:
kapi = break → kapira = breakage (result)

syu = make → syura = product/creation

doli = write → dolibu = writing/text

Question:
If kami = buy and kamira = purchase (result), what does kamibu mean?""";"""bought item / purchase (product)""";kamibu = buying process or transaction.;;
"""sami = walk → samire = walk often

mabo = eat → mabore = eat frequently

han = day → hanpe = every day

sebo = week → sebope = every week

Question:
If suki = swim and sukire = swim often, what does hanre mean?""";"""""";"
Every day. (Assuming the pattern of adding ""-often"" to indicate frequency continues.)";;
"""Context Examples:
mya = parent → myashi = honorable parent

bamu = hello → bamujo = formal greeting

kyu = you → kyujo = formal ""you""

Question:
If domay = friend and domayshi = respected friend, what does domayjo mean?""";"""formal friend / polite acquaintance""";Domayjo means honorable friend.;;
"""Context Examples:
suki = swim → sukidaw = swimmer → sukidawbey = in a swimmer-like way

kato = cut → katoti = make cut → katotizo = cutting tool → katotizoki = small cutter

Question:
If pya = speak, pyadaw = speaker, pyadawbey = speaker-like, what does pyatizoki likely mean?""";"""small speaking tool / little device for making speech""";pyatizoki likely means a speaking device or something that facilitates speech.;;
