Prompt;Target Output;Actual Output;Bleu Score;chrF Score
"""Word/Rule:
sun = similar / -like
daw = person
Question:
What does sundaw most likely mean?""";"""person-like / humanoid""";Similar to a person;;
"""Word/Rule:
tay = many / very
daw = person
Question:
What does tay daw most likely mean?""";"""many people""";Many people;;
"""Word/Rule:
homu = calm
kwe = invert prefix
segu = music
Question:
What does kwehomusegu most likely mean?""";"""chaotic music/ rock music""";Inverted, calm music;;
"""Word/Rule:
begu = if
myu = would
Question:
In begu bay i myu plu, what tense is plu?""";"""Conditional future / would go""";plu = conditional mood;;
"""Word/Rule:
tamye = fun
bey = -ly
Question:
What does tamyebey most likely mean?""";"""funnily / in a fun way""";"Tamyebey most likely means ""fun-ly.""";;
"""Word/Rule:
mye = before / already
plu = to go
Question:
What does mye plu most likely mean?""";"""went / already go
""
""";Going already;;
"""Word/Rule:
pomo = egg
sun = -like
Question:
What does pomosun most likely mean?""";"""egg-like""";Egg-like;;
"""Word/Rule:
pay = up / above
kwe = invert prefix
Question:
What does kwepay most likely mean?""";"""below / under""";upabove;;
"""Word/Rule:
gwi = good
kwe = invert
Question:
What does kwegwi most likely mean?""";"""bad""";Inverted good;;
"""Word/Rule:
moy = multiple
bay = me
Question:
What does moybay most likely mean?""";"""we / us""";Multiple Me;;
